"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Shopping Cart","0","Remove from cart","1","0","Remove a product from cart","0"
"0","Shopping Cart","0","Add to cart","1","0","Add a laptop to the cart","0"
"0","Visual Regression","0","Product Page","1","0","Samsung product page snapshot","0"
"0","User Management","0","Login","1","0","Login for test1","0"
"0","Checkout","0","Data-driven checkout","1","0","Checkout with Sony vaio i5","0"
"0","Shopping Cart","0","Cart total validation","1","0","Cart total equals product price for Samsung galaxy s6","0"
"0","Visual Regression","0","Cart Page","1","0","Empty cart snapshot","0"
"0","Checkout","0","Data-driven checkout","1","0","Checkout with Samsung galaxy s6","0"
"0","Visual Regression","0","Cart Page","1","0","Cart with product snapshot","0"
"0","Checkout","0","Data-driven checkout","1","0","Checkout with Nokia lumia 1520","0"
"0","Visual Regression","0","Catalog","1","0","Phones grid snapshot","0"
"0","Visual Regression","0","Homepage","1","0","Homepage layout snapshot","0"
"0","Checkout","0","Checkout validation","1","0","Confirm purchase amount matches product price","0"
"0","User Management","0","Signup","1","0","Sign up and login with a random user","0"
"0","User Management","0","Login","1","0","Login for test","0"
"0","Checkout","0","Checkout flow","1","0","Complete checkout using the flow helper","0"
"0","Happy Path","0","Signup / Login / Checkout","1","0","User can sign up, log in, and complete checkout","0"
"0","Hybrid","0","Cart","1","0","Inject cart via localStorage and verify UI","0"
"0","Hybrid","0","Login","1","0","Login via API then verify in UI","0"
"0","User Management","0","Login","1","0","User can log in with valid credentials","0"
"0","Shopping Cart","0","Cart total validation","1","0","Cart total equals product price for Nokia lumia 1520","0"
